scientific_name,common_name,taxon_id,count_china,count_data
Dicrurus leucophaeus,灰卷尾,8264,167,927
Dicrurus macrocercus,黑卷尾,8277,353,1188
Egretta eulophotes,黄嘴白鹭,4949,72,145
Egretta garzetta,小白鹭,4943,2300,1194
Elanus caeruleus,黑翅鸢,5275,255,1035
Emberiza aureola,黄胸鹀,9212,90,251
Emberiza chrysophrys,黄眉鹀,9187,149,195
Emberiza cioides,三道眉草鹀,9216,169,568
Emberiza elegans,黄喉鹀,9207,419,586
Emberiza fucata,栗耳鹀,9198,106,219
Emberiza godlewskii,戈氏岩鹀,9226,160,209
Emberiza pallasi,苇鹀,9191,191,296
Emberiza pusilla,小鹀,9197,438,712
Emberiza rustica,田鹀,9188,199,435
Emberiza spodocephala,灰头鹀,9204,677,1074
Emberiza tristrami,白眉鹀,9225,155,188
Enicurus leschenaulti,白额燕尾,13092,144,179
Enicurus schistaceus,灰背燕尾,13087,136,179
Enicurus scouleri,小燕尾,13091,99,146
Eophona migratoria,黑尾蜡嘴雀,10534,877,1002
Eremophila alpestris,角百灵,7294,88,436
Erpornis zantholeuca,白腹凤鹛,15319,78,242
Erythrogenys gravivox,斑胸钩嘴鹛,1289440,53,53
Eudynamys scolopaceus,噪鹃,204510,165,1191
Eumyias thalassinus,铜蓝鹟,72848,149,556
Eurystomus orientalis,三宝鸟,2293,99,628
Falco amurensis,红脚隼,4686,191,246
Falco cherrug,猎隼,4691,73,145
Falco peregrinus,游隼,4647,265,981
Falco subbuteo,燕隼,4643,162,648
Falco tinnunculus,红隼,472766,572,1211
Ficedula albicilla,红喉姬鹟,68519,184,644
Ficedula mugimaki,鸲姬鹟,13127,78,181
Ficedula strophiata,橙胸姬鹟,13110,55,111
Ficedula zanthopygia,白眉姬鹟,13124,175,441
Fringilla montifringilla,燕雀,10069,613,1193
Fulica atra,白骨顶,482,1009,1179
Gallinago gallinago,扇尾沙锥,318836,120,430
Gallinula chloropus,黑水鸡,201282,1920,1230
Gallus gallus,原鸡,882,98,1193
Garrulax canorus,画眉,15156,222,411
Garrulus glandarius,松鸦,8088,219,1214
Gelochelidon nilotica,鸥嘴噪鸥,144536,104,301
Glareola maldivarum,普通燕鸻,4601,100,409
Glaucidium cuculoides,斑头鸺鹠,19839,198,448
Gracupica nigricollis,黑领椋鸟,145098,552,1182
Grus grus,灰鹤,41,152,798
Grus japonensis,丹顶鹤,39,84,184
Grus nigricollis,黑颈鹤,25,140,154
Gypaetus barbatus,胡兀鹫,5379,126,324
Gyps himalayensis,高山兀鹫,5367,209,342
Haematopus ostralegus,蛎鹬,4843,64,263
Halcyon pileata,蓝翡翠,2353,57,192
Halcyon smyrnensis,白胸翡翠,204519,279,1228
Hemixos castanonotus,栗背短脚鹎,14684,376,413
Heterophasia desgodinsi,黑耳奇鹛,72920,63,78
Himantopus himantopus,黑翅长脚鹬,4835,591,1232
Hirundo rustica,家燕,11901,1000,1203
Horornis fortipes,强脚树莺,339710,82,92
Hydrophasianus chirurgus,水雉,4589,129,764
Hydroprogne caspia,红嘴巨燕鸥,144537,98,308
Hypothymis azurea,黑枕王鹟,204523,89,735
Hypsipetes leucocephalus,黑短脚鹎,204524,522,1208
Ianthocincla maxima,大噪鹛,339834,61,61
Ichthyaetus ichthyaetus,渔鸥,144521,84,345
Ictinaetus malaiensis,林雕,367472,128,372
Ithaginis cruentus,血雉,1140,51,70
Ixos mcclellandii,绿翅短脚鹎,144917,377,495
Jynx torquilla,蚁?,18448,73,388
Lalage melaschistos,暗灰鹃鵙,201112,76,221
Lanius bucephalus,牛头伯劳,12051,68,507
Lanius cristatus,红尾伯劳,12021,455,1220
Lanius schach,棕背伯劳,12035,1834,1188
Lanius sphenocercus,楔尾伯劳,12043,84,94
Lanius tephronotus,灰背伯劳,12037,102,220
Lanius tigrinus,虎纹伯劳,12041,83,192
Larus crassirostris,黑尾鸥,4370,257,1061
Larvivora sibilans,红尾歌鸲,145055,63,114
Leiothrix lutea,红嘴相思鸟,15560,312,416
Leucogeranus leucogeranus,白鹤,144289,93,101
Limosa lapponica,斑尾塍鹬,3951,106,254
Limosa limosa,黑尾塍鹬,3947,168,955
Lonchura punctulata,斑文鸟,13893,426,1186
Lonchura striata,白腰文鸟,13887,500,1194
Lophospiza trivirgata,凤头鹰,1582801,110,478
Lophura nycthemera,白鹇,1096,214,235
Luscinia svecica,蓝喉歌鸲,13071,62,1126
Machlolophus spilonotus,黄颊山雀,513972,64,132
Mareca falcata,罗纹鸭,558440,218,495
Mareca penelope,赤颈鸭,558441,358,1217
Mareca strepera,赤膀鸭,558439,208,1024
Megaceryle lugubris,冠鱼狗,2556,93,150
Mergellus albellus,斑头秋沙鸭,7192,89,300
Mergus merganser,普通秋沙鸭,7004,256,755
Mergus squamatus,中华秋沙鸭,7002,59,77
Milvus migrans,黑鸢,5268,691,1188
Monticola rufiventris,栗腹矶鸫,13142,66,114
Monticola solitarius,蓝矶鸫,13141,181,1204
Motacilla alba,白鹡鸰,13695,2426,1210
Motacilla cinerea,灰鹡鸰,13688,545,1184
Motacilla citreola,黄头鹡鸰,13687,113,830
Motacilla tschutschensis,黄鹡鸰,145207,191,776
Muscicapa dauurica,北灰鹟,512431,243,1046
Muscicapa griseisticta,灰纹鹟,12988,78,211
Muscicapa sibirica,乌鹟,12987,116,229
Myophonus caeruleus,紫啸鸫,68507,324,956
Netta rufina,赤嘴潜鸭,7122,133,330
Nucifraga hemispila,南方星鸦,1583632,79,149
Numenius arquata,白腰杓鹬,3896,123,388
Numenius phaeopus,中杓鹬,3901,167,742
Nycticorax nycticorax,夜鹭,4981,2049,1190
Onychostruthus taczanowskii,白腰雪雀,1506141,64,64
Oriolus chinensis,黑枕黄鹂,7867,129,1213
Orthotomus sutorius,长尾缝叶莺,15347,388,1187
Otus lettia,领角鸮,144586,126,499
Otus sunia,红角鸮,20234,98,158
Pandion haliaetus,鹗,116999,146,906
Panurus biarmicus,文须雀,117000,58,127
Paradoxornis gularis,灰头鸦雀,15365,79,83
Paradoxornis heudei,震旦鸦雀,15374,150,156
Parayuhina diademata,白领凤鹛,1289463,120,121
Parus cinereus,大山雀,339691,885,1173
Parus monticolus,绿背山雀,13596,208,436
Passer cinnamomeus,山麻雀,793321,313,460
Passer montanus,麻雀,13851,2791,1246
Pericrocotus cantonensis,小灰山椒鸟,7856,115,139
Pericrocotus solaris,灰喉山椒鸟,7850,298,526
Pericrocotus speciosus,赤红山椒鸟,339679,182,476
Periparus ater,煤山雀,144823,133,915
Periparus rubidiventris,黑冠山雀,144825,89,112
Periparus venustulus,黄腹山雀,339689,416,426
Pernis ptilorhynchus,凤头蜂鹰,144458,184,1185
Phalacrocorax carbo,普通鸬鹚,4270,683,1150
Phasianus colchicus,环颈雉,981,453,869
Phoenicurus auroreus,北红尾鸲,12993,1830,1203
Phoenicurus frontalis,蓝额红尾鸲,12996,112,163
Phoenicurus fuliginosus,红尾水鸲,145068,975,1201
Phoenicurus leucocephalus,白顶溪鸲,145070,215,342
Phoenicurus ochruros,赭红尾鸲,13000,52,600
Phoenicurus schisticeps,白喉红尾鸲,12990,82,82
Phylloscopus castaniceps,栗头鹟莺,793202,54,81
Phylloscopus coronatus,冕柳莺,117017,70,180
Phylloscopus fuscatus,褐柳莺,117022,111,261
Phylloscopus inornatus,黄眉柳莺,117028,175,448
Phylloscopus proregulus,黄腰柳莺,117041,370,452
Pica bottanensis,青藏喜鹊,827400,64,71
Pica serica,喜鹊,827401,2483,1227
Picumnus innominatus,斑姬啄木鸟,17802,244,294
Picus canus,灰头绿啄木鸟,18301,327,861
Platalea leucorodia,白琵鹭,3731,242,634
Platalea minor,黑脸琵鹭,3729,280,698
Pluvialis fulva,金鸻,4896,186,754
Pluvialis squatarola,灰斑鸻,4892,114,438
Podiceps cristatus,凤头??,4208,623,1218
Podiceps nigricollis,黑颈??,4205,62,331
Poecile montanus,褐头山雀,144812,54,1204
Poecile palustris,沼泽山雀,144809,144,396
Pomatorhinus ruficollis,棕颈钩嘴鹛,15271,161,186
Porphyrio poliocephalus,紫水鸡,474332,77,1119
Prinia flaviventris,黄腹山鹪莺,7716,133,389
Prinia inornata,纯色山鹪莺,7710,512,1181
Prunella collaris,领岩鹨,13996,59,203
Prunella strophiata,棕胸岩鹨,13987,52,78
Pseudopodoces humilis,地山雀,8600,96,105
Psilopogon asiaticus,蓝喉拟啄木鸟,367546,76,267
Psilopogon virens,大拟啄木鸟,367525,116,270
Pterorhinus berthemyi,棕噪鹛,1289390,82,82
Pterorhinus chinensis,黑喉噪鹛,1289402,99,232
Pterorhinus davidi,山噪鹛,1289398,102,102
Pterorhinus lanceolatus,矛纹草鹛,1289396,51,51
Pterorhinus pectoralis,黑领噪鹛,1289399,215,354
Pterorhinus perspicillatus,黑脸噪鹛,1289400,697,1071
Pterorhinus sannio,白颊噪鹛,1289401,868,871
Pycnonotus aurigaster,白喉红臀鹎,14626,481,1185
Pycnonotus jocosus,红耳鹎,14591,875,1238
Pycnonotus sinensis,白头鹎,14621,3501,1187
Pycnonotus xanthorrhous,黄臀鹎,14615,649,664
Pyrgilauda ruficollis,棕颈雪雀,1506146,79,79
Pyrrhocorax pyrrhocorax,红嘴山鸦,8349,219,432
Pyrrhula erythaca,灰头灰雀,9466,69,73
Rallus indicus,普通秧鸡,144477,51,79
Recurvirostra avosetta,反嘴鹬,4883,427,854
Regulus regulus,戴菊,793469,89,271
Remiz consobrinus,中华攀雀,13678,112,134
Rostratula benghalensis,彩鹬,3999,51,343
Rubigula flaviventris,黑冠黄鹎,793157,65,526
Saundersilarus saundersi,黑嘴鸥,144500,92,127
Saxicola ferreus,灰林?,73361,94,344
Saxicola stejnegeri,东亚石?,1286913,385,940
Schoeniparus dubius,褐胁雀鹛,339798,64,71
Sibirionetta formosa,花脸鸭,558428,76,133
Sitta europaea,普通?,14824,131,1197
Sitta villosa,黑头?,14837,172,172
Spatula clypeata,琵嘴鸭,558438,295,1210
Spatula querquedula,白眉鸭,558429,101,856
Spilopelia chinensis,珠颈斑鸠,1455918,2328,1202
Spilornis cheela,蛇雕,5158,122,1188
Spinus spinus,黄雀,145303,316,836
Spizixos semitorques,领雀嘴鹎,14658,849,953
Spodiopsar cineraceus,灰椋鸟,547179,848,1206
Spodiopsar sericeus,丝光椋鸟,547178,875,915
Staphida torqueola,栗颈凤鹛,1289460,144,160
Sterna hirundo,普通燕鸥,4450,212,971
Sternula albifrons,白额燕鸥,144529,94,429
Streptopelia decaocto,灰斑鸠,2969,108,1166
Streptopelia orientalis,山斑鸠,2927,1114,1185
Streptopelia tranquebarica,火斑鸠,2935,88,1164
